Epoch,Subject,Session,Recording,RecordingEpoch,Time,Stage
0,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,0,2016-09-02 02:49:12.496009+00:00,REM
1,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,1,2016-09-02 02:49:42.496009+00:00,WAKE
2,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,2,2016-09-02 02:50:12.496009+00:00,WAKE
3,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,3,2016-09-02 02:50:42.496009+00:00,WAKE
4,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,4,2016-09-02 02:51:12.496009+00:00,WAKE
5,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,5,2016-09-02 02:51:42.496009+00:00,WAKE
6,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,6,2016-09-02 02:52:12.496009+00:00,WAKE
7,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,7,2016-09-02 02:52:42.496009+00:00,WAKE
8,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,8,2016-09-02 02:53:12.496009+00:00,WAKE
9,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,9,2016-09-02 02:53:42.496009+00:00,WAKE
10,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,10,2016-09-02 02:54:12.496009+00:00,WAKE
11,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,11,2016-09-02 02:54:42.496009+00:00,WAKE
12,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,12,2016-09-02 02:55:12.496009+00:00,REM
13,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,13,2016-09-02 02:55:42.496009+00:00,WAKE
14,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,14,2016-09-02 02:56:12.496009+00:00,WAKE
15,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,15,2016-09-02 02:56:42.496009+00:00,WAKE
16,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,16,2016-09-02 02:57:12.496009+00:00,WAKE
17,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,17,2016-09-02 02:57:42.496009+00:00,WAKE
18,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,18,2016-09-02 02:58:12.496009+00:00,WAKE
19,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,19,2016-09-02 02:58:42.496009+00:00,WAKE
20,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,20,2016-09-02 02:59:12.496009+00:00,WAKE
21,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,21,2016-09-02 02:59:42.496009+00:00,WAKE
22,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,22,2016-09-02 03:00:12.496009+00:00,WAKE
23,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,23,2016-09-02 03:00:42.496009+00:00,WAKE
24,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,24,2016-09-02 03:01:12.496009+00:00,WAKE
25,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,25,2016-09-02 03:01:42.496009+00:00,WAKE
26,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,26,2016-09-02 03:02:12.496009+00:00,WAKE
27,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,27,2016-09-02 03:02:42.496009+00:00,WAKE
28,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,28,2016-09-02 03:03:12.496009+00:00,WAKE
29,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,29,2016-09-02 03:03:42.496009+00:00,WAKE
30,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,30,2016-09-02 03:04:12.496009+00:00,WAKE
31,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,31,2016-09-02 03:04:42.496009+00:00,WAKE
32,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,32,2016-09-02 03:05:12.496009+00:00,WAKE
33,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,33,2016-09-02 03:05:42.496009+00:00,WAKE
34,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,34,2016-09-02 03:06:12.496009+00:00,WAKE
35,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,35,2016-09-02 03:06:42.496009+00:00,WAKE
36,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,36,2016-09-02 03:07:12.496009+00:00,WAKE
37,sub-00006,ses-2,sub-00006_ses-2_task-sleep_acq-20160902T0250_eeg,37,2016-09-02 03:07:42.496009+00:00,WAKE
